 nu =           0  k =            0    nst =           1
   28      2.6910515923      5.1881434712
   29      2.9782185085      5.8052664490
   30      3.1094028151      4.9814857901
   31      3.2379346514      4.9420997069
   32      3.4106482050      6.1413708884
   33      3.7170647381      5.4911752381
   34      4.0416885884      6.5658582804
 nu =           3  k =            2    nst =          35
    0     -0.9742424624      4.9998755166
    1     -0.4805498427      4.9998441297
    2     -0.2866541516      4.9822143638
    3     -0.2182579141      5.0265319278
    4     -0.0872937685      4.9991139832
    5      0.1130371443      5.0822707755
    6      0.2461109005      5.8797190390
    7      0.3293345276      5.0190943153
    8      0.4050233642      5.2905435777
    9      0.4892023858      5.5343754960
   10      0.5363171023      5.2034720646
   11      0.6153678383      5.0592549086
   12      0.6907898101      5.0091809641
   13      0.8408581468      4.9915000290
   14      1.0143381909      5.1684240377
   15      1.1025097006      5.7257978959
   16      1.1595693532      4.9842848196
   17      1.1765188434      5.0546006810
   18      1.2976183726      5.0567742601
   19      1.3810343549      5.0143367133
   20      1.4891533387      5.0234762307
   21      1.6560904442      5.0177156847
   22      1.7107922003      5.4764960005
   23      1.8540261041      5.4886600949
   24      2.0872122348      5.0070811202
   25      2.1985978804      4.9961366722
   26      2.4895702047      4.8555608962
   27      2.5401443778      6.0427341809
   28      2.7081280803      5.1853946685
   29      2.8797883380      5.0168381644
   30      3.0630511785      5.1803358252
   31      3.2494527355      5.8365693679
   32      3.3651927617      5.1566084209
   33      3.6599080311      6.8177029543
   34      3.9911534125      6.0431533988
 nu =           3  k =            3    nst =          35
    0     -0.9737901257      4.9994772780
    1     -0.7174114345      4.9972198587
    2     -0.4132352648      4.9944688976
    3     -0.2834290222      4.9977538009
    4      0.0600257454      4.9976221876
    5      0.2114347431      4.9980608632
    6      0.2685513641      5.0121436867
    7      0.4199225283      4.4106297173
    8      0.4538229703      6.4072749476
    9      0.5755999904      5.0648659582
   10      0.6865233863      5.0748270001
   11      0.7531199219      5.0795886980
   12      0.9060780018      5.7013372337
   13      0.9907504492      5.0782701044
   14      1.0450130604      5.1155386633
   15      1.1862399510      4.9930525765
   16      1.2366003637      5.0114596136
   17      1.2591588883      5.0154249245
   18      1.3754199375      5.2472099873
   19      1.4186082790      5.4984561933
   20      1.6759919294      5.1992743223
   21      1.7247138709      5.0227155392
   22      1.8184944423      5.0192710062
   23      1.9517493098      5.0017364281
   24      2.1386787861      5.5682286976
   25      2.2409589708      5.4305460952
   26      2.3628846064      5.0778684420
   27      2.4958235070      5.0248013518
   28      2.8523480907      5.6228523409
   29      3.0028434579      5.1119185518
   30      3.0771564535      5.4729982791
   31      3.2496815636      3.9579192520
   32      3.2681742860      7.5064396239
   33      3.6957779884      5.5982194989
   34      3.9095985363      5.4811857261
 nu =           3  k =            4    nst =          35
    0     -1.1766721682      4.9991086770
    1     -0.8162555125      4.9981208829
    2     -0.5684988868      4.9808886451
    3     -0.3651911430      5.0088288012
    4     -0.1551909017      4.9994766052
    5      0.0370482715      4.9879103663
    6      0.4205433877      4.4624159237
    7      0.4957371060      6.1171176001
    8      0.6116488246      5.0080147133
    9      0.7054387489      5.8238772898
   10      0.8374300379      5.4568581343
   11      0.8775139884      4.9081699851
   12      0.9770893015      5.0797626206
   13      0.9999144443      5.0102375412
   14      1.0331419318      5.2293083057
   15      1.2251277457      5.0257674430
   16      1.2671819799      5.3015819722
   17      1.3389707034      5.4876796806
   18      1.4483318008      5.0476365519
   19      1.4813080164      5.0335008434
   20      1.5586971754      5.0295213345
   21      1.7840223774      5.0518854179
   22      1.8715553396      5.8062601802
   23      1.9815684419      5.1144165580
   24      2.1531917505      4.8487186148
   25      2.1806553109      5.1410949548
   26      2.3063682612      5.7674184884
   27      2.4735943687      5.3845099030
   28      2.5446047207      4.9573069905
   29      2.8751881634      5.0782144084
   30      2.9727782878      6.0841015758
   31      3.1372201759      6.2863736973
   32      3.2487015174      5.7128959895
   33      3.4360097299      5.8589592027
   34      3.8012267025      5.1503940068
 nu =           3  k =            5    nst =          35
    0     -1.5825989114      4.9998374692
    1     -0.9127775188      4.9934124687
    2     -0.6880870714      4.9892503315
    3     -0.6036018062      5.0033643251
    4     -0.5080198755      5.0013729246
    5      0.0440491274      4.9814607843
    6      0.4137864261      4.9931224907
    7      0.4572048066      4.9077505209
    8      0.4961716048      5.1671206872
    9      0.5769211697      5.0688595042
   10      0.8319738787      5.0307469954
   11      0.9138514491      5.7611381423
   12      1.0552025625      5.0035739732
   13      1.2138651978      5.4470360694
   14      1.2636658412      5.0955554912
   15      1.2969262325      5.5925483972
   16      1.3406829964      5.0343554654
   17      1.3992508844      5.0930429746
   18      1.6395871914      4.9189562148
   19      1.6596080871      5.4535948112
   20      1.7042423572      5.3611178823
   21      1.7657154649      5.1605417244
   22      1.8543331023      5.0329618078
   23      1.8851277560      5.2095069705
   24      2.0767248862      5.2828087562
   25      2.2196644364      5.6022682613
   26      2.4241207494      5.1193106381
   27      2.5127389992      5.0709127243
   28      2.5544070096      6.4859270125
   29      2.6103740154      5.5098252494
   30      2.9441850892      5.4728910500
   31      3.0308410094      5.4788119941
   32      3.2257688532      5.8545497801
   33      3.2859738435      5.1913926355
   34      3.6742406231      5.0169493565
 nu =           3  k =            6    nst =          35
    0     -1.4153268022      4.9993343608
    1     -1.0707117260      4.9974476976
    2     -0.7762537286      4.9934889130
    3     -0.5208547776      5.0016063215
    4     -0.1202426203      4.9979546353
    5     -0.0091792175      4.9965283337
    6      0.1928016603      4.9873014668
    7      0.4524759977      4.9405043647
    8      0.5556306793      5.1243890112
    9      0.7357913431      4.9715138850
   10      0.8906158188      5.0020981617
   11      1.0341758499      5.1720688063
   12      1.2772670317      5.4943878846
   13      1.3238925707      5.5167607339
   14      1.3631962556      5.9605829618
   15      1.4098611139      5.0515195172
   16      1.4774867537      5.0266524891
   17      1.6414349408      5.4547086513
   18      1.6696936047      5.1140143030
   19      1.7436677935      5.3715224896
   20      1.8012159142      5.0541576145
   21      1.8633270195      5.1077766493
   22      1.9325765130      5.5749343886
   23      2.0267574024      5.2557786843
