    0    0    4.0000000000    8.0000000000         1
    1    0    4.0000000000    8.0000000000         1
    1    1    3.9238795325    7.0000000000         1
    1    2    3.7071067812    7.0000000000         1
    1    3    3.3826834324    7.0000000000         1
    1    4    3.0000000000    7.0000000000         1
    1    5    2.6173165676    7.0000000000         1
    1    6    2.2928932188    7.0000000000         1
    1    7    2.0761204675    7.0000000000         1
    1    8    2.0000000000    7.0000000000         1
    2    0    0.0437047985    6.0000000000         8
    2    1    0.2082356849    6.0000000000         7
    2    2    0.1928327648    6.0000000000         8
    2    3    0.4826097403    6.0000000000         7
    2    4    0.6174096512    6.0000000000         8
    2    5    0.9886861081    6.0000000000         7
    2    6    1.2523994772    6.0000000000         8
    2    7    1.6467764732    6.0000000000         7
    2    8    2.0000000000    6.0028302640         8
    3    0   -0.2352133067    4.9992271819        35
    3    1   -0.5373615893    4.9992918441        35
    3    2   -0.9742424624    4.9998755166        35
    3    3   -0.9737901257    4.9994772780        35
    3    4   -1.1766721682    4.9991086770        35
    3    5   -1.5825989114    4.9998374692        35
    3    6   -1.4153268022    4.9993343608        35
    3    7   -1.4862737896    4.9991183094        35
    3    8   -1.7963777007    4.9997959153        35
