 nu =           0    nst =           1
    0      1.0000000000      2.0000000000
 nu =           1    nst =           4
    0     -1.0000000000      1.0000000000
    1     -0.0000000000      1.0000000000
    2      0.0000000000      1.0000000000
    3      1.0000000000      2.0000000000
 nu =           2    nst =           6
    0     -2.0000000000      0.0000000000
    1     -1.0000000000      1.0000000000
    2     -0.0000000000      0.7583057392
    3      0.0000000000      0.9699263936
    4      0.0000000000      0.5029870708
    5      1.0000000000      2.0000000000
