    0     -1.8680339887      0.3661222812      0.0000839030
    1     -1.8680339887      0.8224186753      0.4993955765
    2     -1.8680339887      0.3666262407      0.0005205206
    3     -1.8680339887      0.8228756555      0.5000000000
    4     -0.7500000000      0.8228756555      0.5000000000
    5     -0.7500000000      0.3660254038      0.0000000000
    6     -0.5590169944      1.8978875284      0.9999322993
    7     -0.5590169944      1.8801112574      0.9574647987
    8     -0.5590169944      1.1725963147     -0.4762107841
    9     -0.5590169944      1.4623434261      0.0503958609
   10     -0.5590169944      1.4394808766      0.0057930354
   11     -0.5590169944      1.6494928362      0.4351597264
   12     -0.5590169944      1.6786904221      0.4983459777
   13     -0.5590169944      1.1757798696     -0.4708809144
   14      0.3680339887      0.3919974518      0.0228297270
   15      0.3680339887      0.6893861682      0.3323197286
   16      0.3680339887      0.5201731384      0.1453766162
   17      0.3680339887      0.8224779229      0.4994739282
   18      0.5590169944      1.5803400236      0.2889073069
   19      0.5590169944      1.7750169874      0.7128511466
   20      0.5590169944      1.6475838957      0.4310582946
   21      0.5590169944      1.1948583430     -0.4387275987
   22      0.5590169944      1.8927593789      0.9876487226
   23      0.5590169944      1.3002529010     -0.2545447462
   24      0.5590169944      1.4965133285      0.1180327354
   25      0.5590169944      1.5148320718      0.1547741387
   26      1.2500000000      2.2838821947     -0.4999999631
   27      1.2500000000      2.7666201476      0.9604035943
   28      1.2500000000      2.6350800612      0.5393634952
   29      1.2500000000      2.0980762114     -1.0000000000
   30      1.2500000000      2.9278273002      1.5000000000
   31      1.2500000000      2.4581186162      0.0002328737
